filename,size
/home/pop/fichier1.txt,43
/home/pop/fichier2.txt,21
/home/pop/fichier3.txt,42
/home/pop/fichier4.txt,14
/home/pop/fichier5.txt,34
/home/pop/fichier6.txt,33
/home/pop/fichier7.txt,14
/home/pop/fichier8.txt,36
/home/pop/fichier9.txt,22
/home/pop/fichier10.txt,17
/home/pop/fichier11.txt,40
/home/pop/fichier12.txt,14
/home/pop/fichier13.txt,9
/home/pop/fichier14.txt,37
/home/pop/fichier15.txt,41
/home/pop/fichier16.txt,24
/home/pop/fichier17.txt,37
/home/pop/fichier18.txt,88
/home/pop/fichier19.txt,18
/home/pop/fichier20.txt,43
/home/pop/fichier21.txt,41
/home/pop/fichier22.txt,11
/home/pop/fichier23.txt,36
/home/pop/fichier24.txt,22
/home/pop/fichier25.txt,3
/home/pop/fichier26.txt,37
/home/pop/fichier27.txt,89
/home/pop/fichier28.txt,10
/home/pop/fichier29.txt,31
/home/pop/fichier30.txt,12
/home/pop/fichier31.txt,30
/home/pop/fichier32.txt,34
/home/pop/fichier33.txt,17
/home/pop/fichier34.txt,39
/home/pop/fichier35.txt,37
/home/pop/fichier36.txt,70
/home/pop/fichier37.txt,36
/home/pop/fichier38.txt,14
/home/pop/fichier39.txt,40
/home/pop/fichier40.txt,33
/home/pop/fichier41.txt,64
/home/pop/fichier42.txt,20
/home/pop/fichier43.txt,43
/home/pop/fichier44.txt,43
/home/pop/fichier45.txt,18
/home/pop/fichier46.txt,37
/home/pop/fichier47.txt,18
/home/pop/fichier48.txt,82
/home/pop/fichier49.txt,17
/home/pop/fichier50.txt,65
/home/pop/fichier51.txt,27
/home/pop/fichier52.txt,29
/home/pop/fichier53.txt,27
/home/pop/fichier54.txt,13
/home/pop/fichier55.txt,32
/home/pop/fichier56.txt,16
/home/pop/fichier57.txt,56
/home/pop/fichier58.txt,19
/home/pop/fichier59.txt,37
/home/pop/fichier60.txt,37
